"PREC_IDENT","PREC_NAME","DISTRICT","POLLING_PL","ADDRESS","CITY","ZIP","SHAPE_AREA","SHAPE_LEN"
902,"BROOKFIELD","Sully","Brookfield Elementary School","4200 Lees Corner Rd","Chantilly",20151,48913793.9525,34889.8716958
110,"NORTH SPRINGFIELD","Braddock","North Springfield Elementary School","7602 Heming Ct","Springfield",22151,44315822.1686,34873.2631581
609,"MARLAN","Mount Vernon","Paul Spring Retirement Community","7116 Fort Hunt Rd","Alexandria",22307,39488941.4545,33015.4665918
732,"OAK MARR","Providence","Oak Marr Recreation Center","3200 Jermantown Rd","Oakton",22124,91856842.4422,49530.1822403
701,"BLAKE","Providence","Oakton High School","2900 Sutton Rd","Vienna",22181,24604130.8118,23704.3167658
727,"OAKTON","Providence","U. U. Congregation of Fairfax","2709 Hunter Mill Rd","Oakton",22124,35089354.599,24500.6628177
238,"CAMERON GLEN","Hunter Mill","North County Human Services Building","1850 Cameron Glen Dr","Reston",20190,22895764.5756,21126.4350558
319,"HERNDON #1","Dranesville","Herndon Elementary School","630 Dranesville Rd","Herndon",20170,37121871.6833,28111.4724071
236,"STUART","Hunter Mill","Armstrong Elementary School","11900 Lake Newport Rd","Reston",20194,11527661.9407,20484.6774181
324,"HERNDON #3","Dranesville","Herndon Middle School","901 Locust St","Herndon",20170,45528545.9305,27318.1208087
233,"NORTH POINT","Hunter Mill","Armstrong Elementary School","11900 Lake Newport Rd","Reston",20194,49368854.3476,35711.1511027
234,"ALDRIN","Hunter Mill","Aldrin Elementary School","11375 Center Harbor Rd","Reston",20194,49227571.5294,32064.5263378
209,"RESTON #2","Hunter Mill","Forest Edge Elementary School","1501 Becontree Ln","Reston",20190,62451800.24,36217.2029029
208,"RESTON #1","Hunter Mill","Lake Anne Elementary School","11510 North Shore Dr","Reston",20190,33609523.7606,29296.108545
224,"SOUTH LAKES","Hunter Mill","South Lakes High School","11400 South Lakes Dr","Reston",20191,43040929.2667,37656.8525897
220,"DOGWOOD","Hunter Mill","Dogwood Elementary School","12300 Glade Dr","Reston",20191,56670390.4297,32290.5941673
306,"GREAT FALLS","Dranesville","Great Falls Elementary School","701 Walker Rd","Great Falls",22066,207383379.079,75228.3431832
309,"KENMORE","Dranesville","Spring Hill Recreation Center","1239 Spring Hill Rd","McLean",22102,128744153.626,54958.4559841
331,"SPRING HILL","Dranesville","Spring Hill Elementary School","8201 Lewinsville Rd","McLean",22102,37630294.8347,26414.2958409
304,"COOPER","Dranesville","Cooper Middle School","977 Balls Hill Rd","McLean",22101,122440989.983,58073.3720361
314,"MCLEAN","Dranesville","Lewinsville Center","1609 Great Falls St","McLean",22101,36073724.5753,28960.188806
303,"CHURCHILL","Dranesville","Churchill Road Elementary School","7100 Churchill Rd","McLean",22101,21206958.5861,19875.5901581
843,"FAIR LAKES","Springfield","St. Paul Chung Catholic Church","4712 Rippling Pond Dr","Fairfax",22033,31377164.6116,25640.6882748
132,"MONUMENT","Braddock","Fairfax County Government Center","12000 Government Center Pky","Fairfax",22035,26743138.7862,22937.1133001
