"PREC_IDENT","PREC_NAME","DISTRICT","POLLING_PL","ADDRESS","CITY","ZIP","SHAPE_AREA","SHAPE_LEN"
851,"WILLOW SPRINGS","Springfield","Willow Springs Elementary School","5400 Willow Springs School Rd","Fairfax",22030,49314855.6208,33116.3169207
804,"COLCHESTER","Springfield","Mott Community Center","12111 Braddock Rd","Fairfax",22030,118316853.373,52223.7125147
841,"POPES HEAD","Springfield","Living Savior Lutheran Church","5500 Ox Rd","Fairfax Station",22039,71925599.9022,42642.9969877
805,"FAIRFAX STATION","Springfield","St. Peter's in the Woods","5911 Fairview Woods Dr","Fairfax Station",22039,46728386.0019,29741.7350498
815,"WOODYARD","Springfield","Antioch Baptist Church","6531 Little Ox Rd","Fairfax Station",22039,159517787.852,64754.8793298
406,"HAYFIELD","Lee","Hayfield Elementary School","7633 Telegraph Rd","Alexandria",22315,31303251.6504,26193.3621603
404,"FRANCONIA","Lee","Edison High School","5801 Franconia Rd","Alexandria",22310,27360842.9112,22679.9170189
422,"VAN DORN","Lee","Key Middle School","6402 Franconia Rd","Springfield",22150,28492793.22,22552.8259432
844,"CENTERPOINTE","Springfield","Centerpointe Church at Fair Oaks","4104 Legato Rd","Fairfax",22033,20413129.605,24075.5641527
850,"SOUTH RUN","Springfield","South Run Recreation Center","7550 Reservation Dr","Springfield",22153,92299897.0741,53185.2743238
839,"SILVERBROOK","Springfield","Silverbrook Elementary School","9350 Crosspointe Dr","Fairfax Station",22039,36519292.7979,29619.9479728
806,"SYDENSTRICKER","Springfield","SYDENSTRICKER UNITED METHODIST CHURCH","8508 Hooes Rd","Springfield",22152,33286774.1091,30956.6784998
807,"HUNT VALLEY","Springfield","Hunt Valley Elementary School","7107 Sydenstricker Rd","Springfield",22151,21533124.0594,26439.1069699
811,"POHICK","Springfield","St. Andrews Episcopal Church","6509 Sydenstricker Rd","Burke",22015,15364997.7898,18108.7388885
803,"CLIFTON","Springfield","Clifton Presbyterian Church","12748 Richards Ln","Clifton",20124,600217720.253,160237.336889
133,"DANBURY","Braddock","Kings Glen Elementary School","5401 Danbury Forest DR","Springfield",22151,16980758.4169,24535.4847137
118,"LAKE BRADDOCK","Braddock","Lake Braddock Secondary School","9200 Burke Lake Rd","Burke",22015,26090692.2545,31076.5794785
731,"TYSONS","Providence","Providence Committee Meeting Room","7921 Jones Branch Rd","McLean",22102,45531453.2445,30364.5884887
113,"CANTERBURY","Braddock","Canterbury Woods Elementary School","4910 Willet Dr","Annandale",22003,40213336.5247,29369.3778741
117,"WOODSON","Braddock","Woodson High School","9525 Main St","Fairfax",22031,40568910.8165,40646.9776837
202,"FLINT HILL","Hunter Mill","Flint Hill Elementary School","2444 Flint Hill Rd","Vienna",22180,67429283.3911,41460.9316597
204,"MADISON","Hunter Mill","Madison High School","2500 James Madison Dr","Vienna",22181,8088035.58881,12774.1482746
933,"COMPTON","Sully","Centreville Elementary School","14330 Green Trails Blvd","Centreville",20121,4484360.20436,11243.3062271
917,"STONE NORTH","Sully","Stone Middle School","5500 Sully Park Dr","Centreville",20120,20849470.4355,24409.7437483
932,"STONE SOUTH","Sully","Stone Middle School","5500 Sully Park Dr","Centreville",20120,10955595.1305,20447.7215858
910,"LONDON TOWNE #1","Sully","London Towne Elementary School","6100 Stone Rd","Centreville",20120,20163355.9088,21862.3151989
924,"LONDON TOWNE #2","Sully","London Towne Elementary School","6100 Stone Rd","Centreville",20120,9890712.40736,15229.8748287
929,"DIFFICULT RUN","Sully","The Church of the Good Shepherd","2351 Hunter Mill Rd","Vienna",22182,42780275.0824,29997.4495837
914,"VALE","Sully","Crossfield Elementary School","2791 Fox Mill Rd","Vienna",22181,67305618.9321,56177.88143
916,"WAPLES MILL","Sully","Waples Mill Elementary School","11509 Waples Mill Rd","Oakton",22124,106637078.084,57166.8910605
908,"KINROSS EAST","Sully","Oak Hill Elementary School","3210 Kinross Ci","Herndon",20171,22842860.4655,21105.6606781
909,"KINROSS WEST","Sully","Oak Hill Elementary School","3210 Kinross Ci","Herndon",20171,17060484.0535,22083.6051844
905,"FRANKLIN","Sully","Franklin Middle School","3300 Lees Corner Rd","Chantilly",20151,7696603.16665,12869.7603127
927,"LEES CORNER #1","Sully","Lees Corner Elementary School","13500 Hollinger Ave","Fairfax",22033,20189883.4722,21457.8129819
930,"LEES CORNER #2","Sully","Lees Corner Elementary School","13500 Hollinger Ave","Fairfax",22033,20491957.5264,21860.3601491
920,"CHANTILLY","Sully","Chantilly High School","4201 Stringfellow Rd","Chantilly",20151,38829227.3829,34110.5751133
931,"CARSON","Sully","Rachel Carson Middle School","13618 McLearen Rd","Herndon",20171,194363216.83,69053.6606266
613,"WESTGATE","Mount Vernon","Washington Mill Elementary School","9100 Cherrytree Dr","Alexandria",22309,256256705.865,86948.6894238
616,"GUNSTON","Mount Vernon","Gunston Elementary School","10100 Gunston Rd","Lorton",22079,700907809.472,126824.696214
605,"FORT HUNT","Mount Vernon","Fort Hunt Elementary School","8832 Linton Ln","Alexandria",22308,38571960.7477,26256.42455
611,"STRATFORD","Mount Vernon","Stratford Landing Elementary School","8484 Riverside Rd","Alexandria",22308,31694377.761,23892.3402468
614,"RIVERSIDE","Mount Vernon","Riverside Elementary School","8410 Old Mt. Vernon Rd","Alexandria",22309,32284829.5481,30418.5883666
602,"BELLEVIEW","Mount Vernon","Belle View Elementary School","6701 Fort Hunt Rd","Alexandria",22307,46817256.136,30744.3472818
601,"BELLE HAVEN","Mount Vernon","West Potomac High School","6500 Quander Rd","Alexandria",22307,24356507.2114,21918.1065394
621,"GROSVENOR","Mount Vernon","Huntington Community Center","5751 Liberty Dr","Alexandria",22303,10972229.7014,17883.2491932
607,"HUNTINGTON","Mount Vernon","Fairhaven Community Center","2409 Fort Dr","Alexandria",22303,11604929.0135,19621.1825235
703,"FORT BUFFALO","Providence","James Lee Community Center","2855-A Annandale Rd","Falls Church",22042,12607897.0486,18094.8848373
709,"MOSBY","Providence","Mosby Woods Elementary School","9819 Five Oaks Rd","Fairfax",22031,18846257.3833,25473.3520491
717,"WOODBURN","Providence","Woodburn Elementary School","3401 Hemlock Dr","Falls Church",22042,28027592.3011,30414.8823271
921,"DEER PARK","Sully","Deer Park Elementary School","15109 Carlbern Dr","Centreville",20120,51242763.2704,36239.9619045
606,"HOLLIN HALL","Mount Vernon","Hollin Hall Center","1500 Shenandoah Rd","Alexandria",22308,45704266.9255,37311.2693592
610,"SHERWOOD","Mount Vernon","Whitman Middle School","2500 Parkers Ln","Alexandria",22306,22810633.8907,29745.2795769
926,"POWELL","Sully","Powell Elementary School","13340 Leland Rd","Centreville",20120,37076233.903,30630.5060284
109,"LITTLE RUN","Braddock","Little Run Elementary School","4511 Olley Ln","Fairfax",22032,35543376.4976,28301.0920018
316,"SALONA #1","Dranesville","Franklin Sherman Elementary School","6633 Brawner St","McLean",22101,17505029.3235,21836.0281976
333,"SALONA #2","Dranesville","Franklin Sherman Elementary School","6633 Brawner St","McLean",22101,21809831.443,28641.3672068
734,"HUNTERS BRANCH","Providence","Regent's Park Clubhouse","9333 Clocktower Pl","Fairfax",22031,8849602.44438,13327.3985549
134,"UNIVERSITY","Braddock","GMU - University Hall","4441 George Mason Blvd","Fairfax",22030,16736103.4002,19056.9490189
919,"GREEN TRAILS","Sully","Centreville Elementary School","14330 Green Trails Blvd","Centreville",20121,25526875.8304,30940.3151266
509,"PLAZA","Mason","Skyline Plaza Residential Towers","3703 South George Mason Dr","Falls Church",22041,647502.881972,3541.19738471
629,"SOUTH COUNTY","Mount Vernon","South County High School","8501 Silverbrook Rd","Lorton",22079,170274695.129,63613.5147482
626,"SARATOGA","Mount Vernon","Saratoga Elementary School","8111 Northumberland Rd","Springfield",22153,28816026.4666,28082.5748002
627,"WOODLAWN","Mount Vernon","Knights of Columbus","8592 Richmond Hwy","Alexandria",22309,33128494.5119,32175.136944
628,"LAUREL HILL","Mount Vernon","Laurel Hill Elementary School","8390 Laurel Crest Dr","Lorton",22079,62558343.0489,62784.0371553
623,"ALBAN","Mount Vernon","Saratoga Elementary School","8111 Northumberland Rd","Springfield",22153,61416236.6564,44406.2130335
520,"SKYLINE","Mason","Goodwin House Bailey's Crossroads","3440 South Jefferson St","Falls Church",22041,12507744.313,17129.5877831
